,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
297,13.8,0.208,75,1.0,2.1,2017,1,13,10,18.44,24.84,19.52,0
298,13.8,0.208,75,1.0,2.1,2017,1,13,11,37.6,23.257,18.44,2
299,13.8,0.208,75,1.0,2.1,2017,1,13,12,37.76,23.66,37.6,2
300,13.8,0.208,75,1.0,2.1,2017,1,13,13,41.12,22.301,37.76,2
301,13.8,0.208,75,1.0,2.1,2017,1,13,14,21.36,22.066,41.12,0
302,13.8,0.208,75,1.0,2.1,2017,1,13,15,19.84,23.638,21.36,0
303,13.8,0.208,75,1.0,2.1,2017,1,13,16,0.0,23.383,19.84,1
304,13.8,0.208,75,1.0,2.1,2017,1,13,17,16.2,10.671,0.0,0
305,13.8,0.208,75,1.0,2.1,2017,1,13,18,6.04,7.868,16.2,0
306,13.8,0.208,75,1.0,2.1,2017,1,13,19,6.76,4.938,6.04,0
